"Code","Error Text","Severity","Associated Element(s)","Form Reference"
"B55","The element is not recorded.","Fatal","AssetTypeID","45/46. Assets: Type  (45. Financial product) (46. Financial instrument/payment mechanism)"
"B56","The element is recorded but without a value (i.e. the value is null).","Fatal","AssetTypeID","45/46. Assets: Type  (45. Financial product) (46. Financial instrument/payment mechanism)"
"B57","The element contains an invalid code.","Fatal","AssetTypeID","45/46. Assets: Type  (45. Financial product) (46. Financial instrument/payment mechanism)"
"B58","The element is not recorded.","Fatal","AssetSubtypeID","45a-t,z/46a-i,z. Assets: Subtype  (45. Bonds/Notes, Microcap securities, etc.)  (46. Bank/cashier's check, Funds transfer, etc.)"
"B59","The element is recorded but without a value (i.e. the value is null).","Fatal","AssetSubtypeID","45a-t,z/46a-i,z. Assets: Subtype  (45. Bonds/Notes, Microcap securities, etc.)  (46. Bank/cashier's check, Funds transfer, etc.)"
"B6","The element contains an invalid code.","Fatal","PartyIdentificationTypeCode","Misc."
"B60","The element contains an invalid code.","Fatal","AssetSubtypeID","45a-t,z/46a-i,z. Assets: Subtype  (45. Bonds/Notes, Microcap securities, etc.)  (46. Bank/cashier's check, Funds transfer, etc.)"
"B61","The element contains a value that is not appropriate for the type of asset recorded.","Fatal","AssetSubtypeID","45a-t,z/46a-i,z. Assets: Subtype  (45. Bonds/Notes, Microcap securities, etc.)  (46. Bank/cashier's check, Funds transfer, etc.)"
"B62","The element is not recorded or does not contain a value and Other is indicated for the <AssetSubtypeID> element.","Warning","OtherAssetSubtypeText","45z/46z. Assets: Subtype Other Description"
"B63","The element is recorded with a value and Other is not indicated for the <AssetSubtypeID> element.","Warning","OtherAssetSubtypeText","45z/46z. Assets: Subtype Other Description"
"B64","The element is not recorded or does not contain a value.","Warning","AssetAttributeDescriptionText","47-50. Assets Attribute: Value/Description"
"B65","The value recorded is not valid based on the type of asset attribute (see Value Restrictions for format requirements).","Warning","AssetAttributeDescriptionText","47-50. Assets Attribute: Value/Description"
"B66","The element is not recorded.","Fatal","AssetAttributeTypeID","47-50. Assets Attribute: Type (Commodity, Product/Instrument, Market where traded, or CUSIP)"
"B67","The element is recorded but without a value (i.e. the value is null).","Fatal","AssetAttributeTypeID","47-50. Assets Attribute: Type (Commodity, Product/Instrument, Market where traded, or CUSIP)"
"B68","The element contains an invalid code.","Fatal","AssetAttributeTypeID","47-50. Assets Attribute: Type (Commodity, Product/Instrument, Market where traded, or CUSIP)"
"B69","The element is not recorded.","Fatal","FilingDateText","95. Date filed"
"B7","The element is recorded but with no value (i.e. the value is null).","Fatal","PartyIdentificationTypeCode","Misc."
"B70","The element is recorded but without a value (i.e. the value is null).","Fatal","FilingDateText","95. Date filed"
"B71","The value recorded for the element is a date greater than the current date or less than January 1, 2000.","Fatal","FilingDateText","95. Date filed"
"B72","The value recorded for the element is not a valid date in the format YYYYMMDD.","Fatal","FilingDateText","95. Date filed"
"B9","The element is not recorded.","Fatal","PartyIdentificationTypeCode","Misc."
"C0","The party type associated with the subject is not recorded.","Fatal","Party","Subject Information"
"C1","The party type associated with the subject exceeds the maximum occurrence for the FinCEN SAR.","Fatal","Party","Subject Information"
"C10","The element contains an invalid state code.","Fatal","RawStateCodeText","13. Address: State"
"C11","The element is not recorded or does not contains a value when the","Warning","RawStateCodeText","13. Address: State"
"C12","The element contains a value and the country is not US, CA, MX, or a U.S. Territory.","Warning","RawStateCodeText","13. Address: State"
"C13","State code and country code mismatch when a U.S. Territory is recorded.","Warning","RawCountryCodeText RawStateCodeText","13, 15. Address: State, Country"
"C14","The value recorded contains punctuation or formatting.","Fatal","RawZIPCode","14. Address: ZIP/Postal Code"
"C15","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawZIPCode","14. Address: ZIP/Postal Code"
"C16","The value recorded is not equal to 5 or 9 numeric characters, is a 9-digit value ending in four zeros or four nines, and the corresponding country is equal to US or a U.S. Territory code.","Warning","RawZIPCode","14. Address: ZIP/Postal Code"
"C17","The element contains an invalid country code.","Fatal","RawCountryCodeText","15. Address: Country"
"C18","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawCountryCodeText","15. Address: Country"
"C19*","The element is not recorded for the subject TIN and <AllCriticalSubjectInformationUnavailableIndicator> does not contain a “Y” value.","Warning","PartyIdentification","16-17. TIN"
"C2*","The element is not recorded for the subject and <AllCriticalSubjectInformationUnavailableIndicator> does not contain a “Y” value.","Warning","PartyName","4-7. Name"
"C20","The element is not recorded or does not contain a value and unknown is not indicated.","Fatal","PartyIdentificationNumberText","16. TIN: Number"
"C21*","The value recorded for the EIN or SSN/ITIN is an invalid number string.","Warning","PartyIdentificationNumberText","16. TIN: Number"
"C22","The element is not recorded or does not contain a value for the subject Form of Identification and <AllCriticalSubjectInformationUnavailableIndicator> does not contain a “Y” value.","Warning","PartyIdentification","18. Form of ID"
"C23","The element contains a value and unknown is indicated.","Warning","PartyIdentificationNumberText","18e. Form of ID: Number"
"C24","The value recorded for the form of identification number is an invalid number string.","Warning","PartyIdentificationNumberText","18e. Form of ID: Number"
"C25","The element is not recorded or does not contain a value, the form of identification is Driver’s license/State ID, and the country code is US, CA,  MX, or a U.S. Territory.","Warning","OtherIssuerStateText","18f. Form of ID: Issuing State"
"C26","The element contains a value and identification unknown is indicated.","Warning","OtherIssuerStateText","18f. Form of ID: Issuing State"
"C27","The element contains an invalid state code.","Warning","OtherIssuerStateText","18f. Form of ID: Issuing State"
"C28","State code and country code mismatch when U.S. Territory is recorded.","Warning","OtherIssuerCountryText OtherIssuerStateText","18f,g. Form of ID: Issuing State/Country"
"C29","The element is not recorded or does not contain a value and the form of identification is Passport or Alien registration.","Warning","OtherIssuerCountryText","18g. Form of ID: Issuing Country"
"C3*","The element is not recorded or does not contain a value for the subject and unknown is not indicated.","Warning","RawEntityIndividualLastName","4. Name: Entity/Last"
"C30","The element contains a value and identification unknown is indicated.","Warning","OtherIssuerCountryText","18g. Form of ID: Issuing Country"
"C31","The element contains an invalid country code.","Warning","OtherIssuerCountryText","18g. Form of ID: Issuing Country"
"C32","The element is not recorded or does not contain a value and the form of identification is Other.","Warning","OtherPartyIdentificationTypeText","18z. Form of ID: Type - Other Description"
"C33","The element contains a value and identification unknown is indicated.","Warning","OtherPartyIdentificationTypeText","18z. Form of ID: Type - Other Description"
"C34","The value recorded for the element is not in the required format (YYYYMMDD).","Warning","IndividualBirthDateText","19. Date of birth: Date"
"C35","The element is not recorded for the individual subject and <AllCriticalSubjectInformationUnavailableIndicator> and <BirthDateUnknownIndicator> do not contain a “Y” value.","Warning","IndividualBirthDateText","19. Date of birth: Date"
"C36","The date of birth recorded is less than January 1, 1900.","Warning","IndividualBirthDateText","19. Date of birth: Date"
"C37","The element contains an invalid code.","Fatal","PhoneNumberTypeCode","20a-d. Phone: Type (a. Home, b. Work, c. Mobile, d. Fax)"
"C38","The value recorded for the element is not a valid email address or URL format.","Warning","ElectronicAddressText","22,22a. E-Address: Address"
"C39","The element is not recorded or does not contain a value (i.e. the value is null).","Fatal","ElectronicAddressTypeCode","22,22a. E-Address: Type Indicator"
"C4","The element is not recorded or does not contain a value for an individual subject and unknown is not indicated.","Warning","RawIndividualFirstName","5. Name: First"
"C40","The element contains an invalid code.","Fatal","ElectronicAddressTypeCode","22,22a. E-Address: Type Indicator"
"C41*","The element is not recorded or at least one indicator identifying the type of relationship is not recorded with a ""Y"" value.","Warning","PartyAssociation","24. Subject Relationship to FI (relationship type indicators)"
"C42","The value recorded does not match the TIN for the filing institution or a financial institution where the activity occurred.","Fatal","SubjectRelationshipFinancialInstitutionTINText","24a. Subject Relationship to FI: Institution TIN"
"C43","The element is not recorded or does not contain a value and Other is indicated.","Warning","OtherPartyAssociationTypeText","24z. Subject Relationship to FI: Other description"
"C44","The element is recorded with a value and Other is not indicated.","Warning","OtherPartyAssociationTypeText","24z. Subject Relationship to FI: Other description"
"C45","The element is not recorded or does not contain a value and the status of the relationship is Terminated, Suspended/barred, or Resigned.","Warning","ActionTakenDateText","26. Subject Relationship to FI: Action date"
"C46","The value recorded for the element is not in the required format (YYYYMMDD).","Warning","ActionTakenDateText","26. Subject Relationship to FI: Action date"
"C47","The NoKnownAccountInvolvedIndicator element is recorded with a “Y” value but the PartyAccountAssociation element is also recorded.","Warning","NoKnownAccountInvolvedIndicator PartyAccountAssociation Account","27. Related FI TIN/Account(s)/No known accounts involved"
"C48","The NoKnownAccountInvolvedIndicator element is not recorded and the PartyAccountAssociation element is also not recorded.","Warning","NoKnownAccountInvolvedIndicator PartyAccountAssociation Account","27. Related FI TIN/Account(s)/No known accounts involved"
"C49","The element is not recorded or does not contain a value.","Fatal","PartyAccountAssociationTypeCode","27. Account: Party Association Type (Subject Identifier)"
"C5","The gender is not specified for the individual subject.","Warning","FemaleGenderIndicator MaleGenderIndicator UnknownGenderIndicator","08a-c. Gender"
"C50","The element contains an invalid code.","Fatal","PartyAccountAssociationTypeCode","27. Account: Party Association Type (Subject Identifier)"
"C51","More than one role is recorded for the subject.","Warning","BothPurchaserSenderPayeeReceiveIndicator PayeeReceiverIndicator PurchaserSenderIndicator","28a-c. Subject role in transaction"
"C52*","Subject relationship to institution is categorized as Director, Employee, Officer, and/or Owner/Controlling Shareholder, and Joint report is indicated.","Warning","ActivityAssociation (DirectorIndicator, EmployeeIndicator, OfficerIndicator, OwnerShareholderIndicator); PartyAssociation (JointReportIndicator)","24h/i/k/l. Subject relationship to institution; 1d. Joint report"
"C53","A gender indicator element is recorded with a “Y” value for the entity subject.","Warning","FemaleGenderIndicator MaleGenderIndicator UnknownGenderIndicator PartyAsEntityOrganizationIndicator","08a-c. Gender 03a. Check if entity"
"C54","The element is not recorded or does not contain a valid value.","Fatal","PartyIdentificationTypeCode","17. TIN: Type"
"C55","The element is recorded with a valid value but the status of the relationship is not equal to","Warning","ActionTakenDateText","26. Subject Relationship to FI: Action date"
"C56","The element is recorded with a valid value but the type of relationship is not equal to Director, Employee, Officer, or Owner/Controlling Shareholder.","Warning","RelationshipContinuesIndicator; ResignedIndicator; SuspendedBarredIndicator; TerminatedIndicator","25. Subject Relationship to FI: Status of relationship"
"C57","The element is not recorded or does not contain a value and the type of relationship is equal to Director, Employee, Officer, and/or Owner/Controlling Shareholder.","Warning","RelationshipContinuesIndicator; ResignedIndicator; SuspendedBarredIndicator; TerminatedIndicator","25. Subject Relationship to FI: Status of relationship"
"C6","More than one gender is recorded for the subject.","Warning","FemaleGenderIndicator MaleGenderIndicator UnknownGenderIndicator","08a-c. Gender"
"C7","The element is not recorded for the subject and <AllCriticalSubjectInformationUnavailableIndicator> does not contain a “Y” value.","Warning","Address","11-15. Address"
"C8","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawStreetAddress1Text","11. Address: Street"
"C9","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawCityText","12. Address: City"
"D0","The party type associated with the financial institution where activity occurred is not recorded.","Fatal","Party","FI Where Activity Occurred"
"D1","The party type associated with the financial institution where activity occurred exceeds the maximum occurrence for the FinCEN SAR.","Fatal","Party","FI Where Activity Occurred"
"D10","The element is not recorded or does not contain a value (i.e. the value is null) and the institution type is equal to Casino/Card club or Securities and Futures.","Fatal","OrganizationSubtypeID","53a-c,z 54a-k,z. Institution Subtype: Gaming Institution, Institution Subtype: Securities/Futures Institution"
"D11","The element contains an invalid code.","Fatal","OrganizationSubtypeID","53a-c,z 54a-k,z. Institution Subtype: Gaming Institution, Institution Subtype: Securities/Futures Institution"
"D12","The element contains a value but the institution type is not equal to Casino/Card club or Securities and Futures.","Fatal","OrganizationSubtypeID","53a-c,z 54a-k,z. Institution Subtype: Gaming Institution, Institution Subtype: Securities/Futures Institution"
"D14","The value recorded conflicts with the institution type recorded (e.g. State Casino recorded for Securities and Futures institution)","Fatal","OrganizationSubtypeID","53a-c,z 54a-k,z. Institution Subtype: Gaming Institution, Institution Subtype: Securities/Futures Institution"
"D15","The element is not recorded or does not contain a value and the institution subtype is equal to Other.","Warning","OtherOrganizationSubTypeText","53z 54z. Institution Subtype Other: Gaming Institution Description Institution Subtype Other: Securities/Futures Institution Description"
"D16","The element is recorded with a value but the institution subtype is not equal to Other.","Warning","OtherOrganizationSubTypeText","53z 54z. Institution Subtype Other: Gaming Institution Description Institution Subtype Other:"
"D17","The element is not recorded or does not contain a value and unknown is not indicated.","Fatal","PartyIdentificationNumberText","55h. Institution ID: Number"
"D18","The element is not recorded or does not contain a value and unknown is not indicated.","Fatal","RawPartyFullName","57. Name: Legal name of FI"
"D19","The element is recorded with a value for the legal name and unknown is indicated.","Warning","RawPartyFullName","57. Name: Legal name of FI"
"D2","The element is not recorded.","Fatal","OrganizationClassificationTypeSubtype","51, 53-54. Institution Type/Subtype"
"D20","The element is not recorded or does not contain a value and unknown is not indicated.","Fatal","PartyIdentificationNumberText","59. TIN: Number"
"D21*","The value recorded for the EIN or SSN/ITIN is an invalid number string.","Warning","PartyIdentificationNumberText","59. TIN: Number"
"D22","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawStreetAddress1Text","61. Address: Address/Street"
"D23","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawCityText","62. Address: City"
"D24","The element contains an invalid state code.","Fatal","RawStateCodeText","63. Address: State"
"D25","The element is not recorded or does not contain a value when the country is US, CA, MX, or a U.S. Territory.","Warning","RawStateCodeText","63. Address: State"
"D26","The element contains a value and the country is not US, CA, MX, or a U.S. Territory.","Warning","RawStateCodeText","63. Address: State"
"D27","State code and country code mismatch when U.S. Territory is recorded.","Warning","RawCountryCodeText RawStateCodeText","63, 65. Address: State, Country"
"D28","The value recorded contains punctuation or formatting.","Fatal","RawZIPCode","64. Address: ZIP/Postal Code"
"D29","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawZIPCode","64. Address: ZIP/Postal Code"
"D3","The element is not recorded or does not contain a value (i.e. the value is null).","Fatal","OrganizationTypeID","51a-g,z. Institution Type"
"D30","The value recorded is not equal to 5 or 9 numeric characters, is a 9-digit value ending in four zeros or four nines, and the corresponding country is equal to US or a U.S. Territory code.","Warning","RawZIPCode","64. Address: ZIP/Postal Code"
"D31","The element contains an invalid country code.","Fatal","RawCountryCodeText","65. Address: Country"
"D32","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawCountryCodeText","65. Address: Country"
"D33","The loss to financial institution amount recorded contains one or more non-numeric characters.","Warning","LossToFinancialAmountText","67. Loss to financial institution (amount)"
"D34","The loss to financial institution amount recorded is greater than the amount recorded for <TotalSuspiciousAmountText>","Warning","LossToFinancialAmountText","67. Loss to financial institution (amount)"
"D35","The element is recorded but no relationship indicator is recorded with a “Y” value.","Warning","PartyAssociation","67. FI/Branch Party Association"
"D36","This element is recorded with a “Y” value for the Financial institution (34) but one or more Branch (46) party type locations are also recorded.","Warning","NoBranchActivityInvolvedIndicator","69a. No branch activity involved indicator"
"D37","The party type associated with the branch where activity occurred is not recorded and ""no branch activity involved"" is not indicated.","Warning","Party","Branch Location"
"D38","The party type associated with the branch where activity occurred exceeds the maximum occurrence for the FinCEN SAR.","Fatal","Party","Branch Location"
"D39","More than one role is recorded for the branch’s role in the transaction.","Warning","PayLocationIndicator SellingLocationIndicator SellingPayingLocationIndicator","68a-c. Role in transaction"
"D4","The element contains an invalid code.","Fatal","OrganizationTypeID","51a-g,z. Institution Type"
"D41","The element is not recorded for the Branch and <NoBranchActivityInvolvedIndicator> does not contain a ""Y"" value.","Warning","Address","69, 71-74. Address"
"D44","The element contains an invalid state code.","Fatal","RawStateCodeText","72. Address: State"
"D45","The element contains a value and the country is not US, CA, MX, or a U.S. Territory.","Warning","RawStateCodeText","72. Address: State"
"D46","The element is not recorded or does not contain a value when the country is a U.S. Territory.","Warning","RawStateCodeText","72. Address: State"
"D47","State code and country code mismatch when U.S. Territory is recorded.","Warning","RawCountryCodeText RawStateCodeText","72, 74. Address: State, Country"
"D49","The element contains an invalid country code.","Fatal","RawCountryCodeText","74. Address: Country"
"D5","The element is not recorded or does not contain a value and the institution type is equal to Other.","Warning","OtherOrganizationTypeText","51z. Institution Type Other Description"
"D50","The element is not recorded or does not contain a value.","Warning","RawCountryCodeText","74. Address: Country"
"D51","More than one role is recorded for the financial institution’s role in transaction.","Warning","PayLocationIndicator SellingLocationIndicator SellingPayingLocationIndicator","56a-b. Role in transaction"
"D52","The element is not recorded or does not contain a valid value.","Fatal","PartyIdentificationTypeCode","60. TIN: Type"
"D53","The loss to financial institution amount recorded is equal to zero.","Warning","LossToFinancialAmountText","67. Loss to financial institution (amount)"
"D6","The element is recorded with a value but the institution type is not equal to Other.","Warning","OtherOrganizationTypeText","51z. Institution Type Other Description"
"D7","The element is not recorded.","Fatal","PrimaryRegulatorTypeCode","52a-i. Primary Federal Regulator"
"D8","The element is recorded but with no value (i.e. the value is null).","Fatal","PrimaryRegulatorTypeCode","52a-i. Primary Federal Regulator"
"D9","The element contains an invalid code.","Fatal","PrimaryRegulatorTypeCode","52a-i. Primary Federal Regulator"
"E1","The party type associated with the filing institution exceeds the maximum occurrence for the FinCEN SAR.","Fatal","Party","Filing Institution"
"E10","The element is not recorded.","Fatal","OrganizationClassificationTypeSubtype","79, 80. Institution Type/Subtype"
"E11","The element is not recorded or does not contain a value (i.e. the value is null).","Fatal","OrganizationTypeID","79a-g,z. Institution Type"
"E12","The element contains an invalid code.","Fatal","OrganizationTypeID","79a-g,z. Institution Type"
"E13","The element is not recorded or does not contain a value and the institution type is equal to Other.","Warning","OtherOrganizationTypeText","79z. Institution Type Other Description"
"E14","The element is recorded with a value but the institution type is not equal to Other.","Warning","OtherOrganizationTypeText","79z. Institution Type Other Description"
"E15","The element is not recorded or does not contain a value (i.e. the value is null) and the institution type is equal to Securities and Futures.","Fatal","OrganizationSubtypeID","80a-n,z. Institution Subtype: Securities/Futures Institution"
"E16","The element contains an invalid code.","Fatal","OrganizationSubtypeID","80a-n,z. Institution Subtype: Securities/Futures Institution"
"E17","The element contains a value but the institution type is not equal to Securities and Futures.","Fatal","OrganizationSubtypeID","80a-n,z. Institution Subtype: Securities/Futures Institution"
"E19","The value recorded conflicts with the institution type recorded (e.g. State Casino recorded for Securities and Futures institution)","Fatal","OrganizationSubtypeID","80a-n,z. Institution Subtype: Securities/Futures Institution"
"E2","The element is not recorded.","Fatal","PrimaryRegulatorTypeCode","75a-i, z. Primary Federal Regulator"
"E20","The element is recorded with a value but the institution subtype is not equal to Other.","Warning","OtherOrganizationSubTypeText","80z. Institution Subtype Other: Securities/Futures Institution Description"
